date,Q_total,Q_sensible,Q_latent,outdoor_air_flow,heating_setpoint,cooling_setpoint,humidifying_setpoint,dehumidifying_setpoint,state
2001-01-06 08:30:00,1105.752074212227,1105.752074212227,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 09:30:00,86.97389648790522,86.97389648790522,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-06 11:30:00,-1130.3182129279985,-1130.3182129279985,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 12:30:00,-2472.563993498822,-2472.563993498822,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 13:30:00,-2064.7290733631244,-2064.7290733631244,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 14:30:00,-2353.8494299258173,-2353.8494299258173,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 15:30:00,-2379.3194764281006,-2379.3194764281006,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 16:30:00,-1759.4318389625396,-1759.4318389625396,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 17:30:00,-416.92163718773463,-416.92163718773463,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-06 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-06 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-06 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-06 21:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-06 22:30:00,366.7897814063881,366.7897814063881,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-06 23:30:00,615.102725120255,615.102725120255,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 00:30:00,763.2974349316464,763.2974349316464,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 01:30:00,861.0449752387722,861.0449752387722,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 02:30:00,929.4971815413119,929.4971815413119,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 03:30:00,986.5840529481729,986.5840529481729,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 04:30:00,1029.2475208437318,1029.2475208437318,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 05:30:00,1065.9561317091247,1065.9561317091247,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 06:30:00,1098.0349860197148,1098.0349860197148,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 07:30:00,1127.9837958846902,1127.9837958846902,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 08:30:00,1100.9118322144113,1100.9118322144113,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 09:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 11:30:00,-1028.5142829209553,-1028.5142829209553,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 12:30:00,-1271.8747643570905,-1271.8747643570905,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 13:30:00,-1986.771311180476,-1986.771311180476,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 14:30:00,-1946.0434588267262,-1946.0434588267262,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 15:30:00,-1899.8775340805123,-1899.8775340805123,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 16:30:00,-1372.1996579535653,-1372.1996579535653,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 17:30:00,-240.03980283081182,-240.03980283081182,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-07 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 21:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-07 22:30:00,353.1650482359082,353.1650482359082,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-07 23:30:00,592.594414593772,592.594414593772,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 00:30:00,740.8757489450982,740.8757489450982,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 01:30:00,847.5967081529343,847.5967081529343,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 02:30:00,924.2314266341218,924.2314266341218,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 03:30:00,989.135920075757,989.135920075757,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 04:30:00,1045.866494200991,1045.866494200991,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 05:30:00,1092.582621318661,1092.582621318661,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 06:30:00,1139.907341615919,1139.907341615919,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 07:30:00,1181.1000540351588,1181.1000540351588,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 08:30:00,1147.5327386099225,1147.5327386099225,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 09:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-08 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-08 11:30:00,-807.7065735801762,-807.7065735801762,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 12:30:00,-1328.5606972922824,-1328.5606972922824,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 13:30:00,-2159.7004241221193,-2159.7004241221193,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 14:30:00,-2008.0949264244146,-2008.0949264244146,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 15:30:00,-1245.980364047672,-1245.980364047672,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 16:30:00,-385.18728635788193,-385.18728635788193,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-08 17:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-08 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
